MAG_ID	Completeness	Contamination	Contigs_num	tRNA_num	rRNA_num	Quality
QHF6-unmapped_bin_245	50.38	2.16	567	33	1	Medium-quality
F4936_bin_9	50.39	0.8	551	45	22	Medium-quality
C4936_bin_31	50.42	3.42	643	19	0	Medium-quality
F4460_bin_47	50.42	1.57	410	10	1	Medium-quality
S46608A_bin_19	50.42	0.86	672	5	0	Medium-quality
F5385_bin_53	50.44	0.93	308	20	0	Medium-quality
QHF6-unmapped_bin_678	50.45	0	77	12	0	Medium-quality
F5106_bin_41	50.46	1.46	520	19	1	Medium-quality
S136810B_bin_39	50.46	2.13	402	14	0	Medium-quality
Tibetan-s1400-43F_bin_22	50.46	4.3	263	13	0	Medium-quality
F5208_bin_19	50.48	3.51	200	12	0	Medium-quality
F5235_bin_42	50.48	2.4	544	9	0	Medium-quality
F5385_bin_54	50.48	3.51	527	11	0	Medium-quality
F5455_bin_51	50.48	4.85	414	10	0	Medium-quality
F5106_bin_39	50.49	2.06	666	22	1	Medium-quality
F5250_bin_61	50.49	1.68	295	8	0	Medium-quality
Boar-s18_bin_35	50.5	0	345	7	1	Medium-quality
S118306B_bin_6	50.5	0.2	233	29	0	Medium-quality
F5230_bin_51	50.51	2.14	420	18	17	Medium-quality
S95008B_bin_59	50.51	0.12	266	13	0	Medium-quality
F5404_bin_5	50.52	0	366	9	0	Medium-quality
F4975_bin_33	50.53	1.61	520	10	0	Medium-quality
F5571_bin_23	50.53	0	84	16	0	Medium-quality
F5165_bin_42	50.57	0	118	26	0	Medium-quality
F5248_bin_47	50.57	0	274	1	1	Medium-quality
F5606_bin_42	50.57	0	319	4	0	Medium-quality
F5138_bin_51	50.59	0	131	37	0	Medium-quality
F5526_bin_46	50.6	1.4	284	9	0	Medium-quality
Tibetan-s1004M_bin_25	50.6	0.08	271	7	2	Medium-quality
Tibetan-s1005M_bin_32	50.62	1.12	332	8	0	Medium-quality
F4983_bin_35	50.63	2.35	555	15	0	Medium-quality
F5512_bin_36	50.63	0.86	559	8	1	Medium-quality
LW1-s151116_bin_8	50.63	0.16	517	20	0	Medium-quality
QHF6-unmapped_bin_687	50.64	1.75	146	8	0	Medium-quality
S127912A_bin_15	50.65	1.7	617	13	1	Medium-quality
Boar-s10_bin_47	50.66	1.73	347	16	0	Medium-quality
F5485_bin_49	50.66	1.72	341	10	0	Medium-quality
F4894_bin_45	50.67	2.94	319	4	0	Medium-quality
F5097_bin_31	50.68	0.27	232	3	0	Medium-quality
F5176_bin_58	50.68	1.2	284	11	0	Medium-quality
F4903_bin_4	50.69	3.6	428	6	1	Medium-quality
F5419_bin_32	50.69	4.25	510	12	1	Medium-quality
S127906B_bin_33	50.72	1.79	393	7	1	Medium-quality
S107802B_bin_46	50.73	1.38	410	15	1	Medium-quality
QHF6-unmapped_bin_442	50.74	3.24	170	11	0	Medium-quality
F5436_bin_49	50.75	4.94	423	3	0	Medium-quality
F5570_bin_36	50.77	0.85	374	11	0	Medium-quality
F5115_bin_2	50.78	1.72	363	10	0	Medium-quality
F5165_bin_22	50.78	0	348	23	0	Medium-quality
Tibetan-s3480-29M_bin_14	50.78	4.61	2034	111	1	Medium-quality
BL-unmapped_bin_104	50.79	0	65	12	1	Medium-quality
W5021_bin_108	50.79	0	74	33	1	Medium-quality
S63506B_bin_39	50.8	4.94	536	9	0	Medium-quality
F5348_bin_15	50.82	3.45	514	16	0	Medium-quality
F5355_bin_57	50.83	1.88	250	19	0	Medium-quality
Duroc-Low1_bin_36	50.84	2.41	162	11	0	Medium-quality
BL-unmapped_bin_165	50.86	1.72	86	3	0	Medium-quality
C5071_bin_9	50.86	0	234	6	0	Medium-quality
Duroc-Low4_bin_25	50.86	1.72	383	24	0	Medium-quality
F4704_bin_41	50.86	0	408	10	0	Medium-quality
F4878_bin_5	50.86	2.59	611	18	1	Medium-quality
F4981_bin_24	50.86	1.72	214	3	1	Medium-quality
F5110_bin_81	50.86	3.45	320	7	0	Medium-quality
F5348_bin_23	50.86	0	444	5	0	Medium-quality
F5385_bin_47	50.86	0	400	21	0	Medium-quality
F5526_bin_43	50.86	1.72	295	23	0	Medium-quality
QHF6-unmapped_bin_60	50.86	0	158	8	0	Medium-quality
S127912B_bin_38	50.86	0	403	13	0	Medium-quality
S58506A_bin_25	50.86	1.72	366	11	0	Medium-quality
C4978_bin_41	50.88	0	309	12	0	Medium-quality
F4556_bin_24	50.88	0	139	13	1	Medium-quality
F4690_bin_91	50.88	1.75	290	11	0	Medium-quality
F4878_bin_44	50.88	1.67	179	14	0	Medium-quality
F5028_bin_47	50.88	1.75	48	14	0	Medium-quality
F5143_bin_2	50.88	0	55	17	0	Medium-quality
F5165_bin_12	50.88	3.51	173	12	1	Medium-quality
F5242_bin_40	50.88	2.63	388	10	0	Medium-quality
S133204A_bin_53	50.88	1.75	166	6	0	Medium-quality
S31914B_bin_13	50.88	0.88	320	16	0	Medium-quality
S127912B_bin_47	50.89	1.72	366	8	0	Medium-quality
Duroc-Low2_bin_47	50.91	4.85	841	20	2	Medium-quality
F4460_bin_30	50.91	1.82	725	17	0	Medium-quality
F4888_bin_46	50.91	2.38	326	9	0	Medium-quality
F4975_bin_22	50.91	0	206	21	0	Medium-quality
Tibetan-s1400-43F_bin_23	50.92	0	295	12	0	Medium-quality
F4286_bin_50	50.93	3.37	394	4	0	Medium-quality
F4993_bin_35	50.93	1.7	506	12	0	Medium-quality
F5380_bin_4	50.93	1.07	496	11	2	Medium-quality
F5432_bin_69	50.94	0	411	22	0	Medium-quality
F5023_bin_61	50.95	1.32	188	12	0	Medium-quality
QHF6-unmapped_bin_528	50.95	4.38	192	12	0	Medium-quality
QHF6-unmapped_bin_252	50.96	3.67	194	10	0	Medium-quality
F5372_bin_20	50.99	2.3	582	21	0	Medium-quality
F5510_bin_33	50.99	0.89	434	9	0	Medium-quality
F5412_bin_58	51	3.45	373	16	0	Medium-quality
F4657_bin_51	51.01	0.79	444	11	0	Medium-quality
F4390_bin_66	51.02	1.72	321	9	0	Medium-quality
F4954_bin_20	51.02	3.45	865	14	0	Medium-quality
S101306A_bin_42	51.02	3.45	466	22	0	Medium-quality
F4364_bin_9	51.03	0	329	13	1	Medium-quality
F4987_bin_59	51.03	0	279	7	0	Medium-quality
S95008B_bin_19	51.03	0	300	14	0	Medium-quality
F5374_bin_26	51.04	1.75	215	28	1	Medium-quality
Tibetan-s3480-40M_bin_7	51.04	0	332	8	0	Medium-quality
S58506A_bin_44	51.06	0	283	6	0	Medium-quality
S60108A_bin_11	51.07	0	647	9	0	Medium-quality
F5158_bin_42	51.08	2.38	53	19	0	Medium-quality
F5122_bin_48	51.09	2.85	266	13	0	Medium-quality
S72204A_bin_19	51.09	3.78	1386	49	0	Medium-quality
F5393_bin_35	51.1	3.71	212	20	0	Medium-quality
F4888_bin_17	51.11	2.48	524	14	0	Medium-quality
S108604B_bin_31	51.12	4.84	861	17	0	Medium-quality
S80312B_bin_58	51.12	2.27	408	9	0	Medium-quality
F4658_bin_45	51.15	1.72	760	9	0	Medium-quality
S133506B_bin_55	51.15	4.92	343	8	1	Medium-quality
F5574_bin_48	51.17	1.61	493	6	0	Medium-quality
F4846_bin_50	51.18	1.72	341	7	0	Medium-quality
F4988_bin_70	51.18	0	458	9	0	Medium-quality
QHF6-unmapped_bin_25	51.18	3.45	265	8	0	Medium-quality
F4941_bin_48	51.19	0	347	9	0	Medium-quality
F4563_bin_17	51.2	0	274	10	0	Medium-quality
F4706_bin_34	51.2	0	268	6	0	Medium-quality
W5042_bin_37	51.2	2.1	462	16	0	Medium-quality
F4582_bin_31	51.21	1.83	694	6	0	Medium-quality
F4873_bin_55	51.21	0	375	8	0	Medium-quality
F4983_bin_42	51.21	1.72	281	19	0	Medium-quality
F5023_bin_63	51.21	1.55	297	15	0	Medium-quality
QHF6-unmapped_bin_84	51.21	1.72	261	34	0	Medium-quality
I5640_bin_27	51.23	4.55	424	17	3	Medium-quality
QHF6-unmapped_bin_70	51.23	1.75	232	10	1	Medium-quality
W4930_bin_23	51.23	4.23	790	28	18	Medium-quality
F5384_bin_8	51.25	0.36	338	17	0	Medium-quality
W4930_bin_42	51.28	2.68	70	23	0	Medium-quality
F5372_bin_48	51.3	0.27	308	18	0	Medium-quality
F5028_bin_41	51.31	0	634	7	0	Medium-quality
F4453_bin_8	51.32	2.55	702	9	0	Medium-quality
F5610_bin_49	51.32	0	439	20	0	Medium-quality
S80312B_bin_55	51.32	0.57	352	15	0	Medium-quality
BL-unmapped_bin_360	51.33	3.45	199	11	1	Medium-quality
F5244_bin_51	51.33	3.45	361	8	0	Medium-quality
Boar-s7_bin_50	51.36	0	292	20	0	Medium-quality
F4973_bin_44	51.36	0	208	8	0	Medium-quality
QHF6-unmapped_bin_591	51.37	2.35	177	9	0	Medium-quality
F4901_bin_14	51.38	1.72	1525	17	0	Medium-quality
F5107_bin_34	51.38	1.03	467	11	1	Medium-quality
I5640_bin_26	51.39	1.91	512	16	0	Medium-quality
F5210_bin_1	51.4	0	255	8	0	Medium-quality
F5181_bin_19	51.44	3.1	406	7	0	Medium-quality
S133204A_bin_62	51.44	2.11	348	20	0	Medium-quality
F4973_bin_8	51.45	1.4	415	13	0	Medium-quality
W4982_bin_21	51.47	1.24	481	26	1	Medium-quality
Duroc-Low8_bin_31	51.48	2.95	643	7	1	Medium-quality
F4844_bin_55	51.49	0.86	384	14	0	Medium-quality
QHF6-unmapped_bin_512	51.49	1.72	411	12	0	Medium-quality
S127912B_bin_50	51.49	2.87	285	9	0	Medium-quality
S31914B_bin_17	51.49	0	362	4	0	Medium-quality
F5141_bin_69	51.51	3.81	351	15	0	Medium-quality
Tibetan-s3800-18M_bin_25	51.51	3.77	399	15	0	Medium-quality
F5604_bin_11	51.52	0	358	15	0	Medium-quality
QHF6-unmapped_bin_521	51.54	0	223	17	0	Medium-quality
Tibetan-s602F_bin_23	51.54	0	338	6	0	Medium-quality
F5046_bin_30	51.55	4.03	607	12	0	Medium-quality
Duroc-High7_bin_44	51.59	1.34	285	8	1	Medium-quality
F5386_bin_25	51.6	3.16	238	8	0	Medium-quality
F5141_bin_50	51.61	1.68	432	8	0	Medium-quality
QHF6-unmapped_bin_741	51.61	0.67	68	13	0	Medium-quality
F5331_bin_40	51.62	2.43	549	36	3	Medium-quality
F4888_bin_25	51.63	2.14	111	20	1	Medium-quality
F5184_bin_62	51.66	4.23	200	12	0	Medium-quality
F5635_bin_41	51.67	4.8	526	15	0	Medium-quality
QHF6-unmapped_bin_466	51.67	1.75	274	10	0	Medium-quality
S46608B_bin_20	51.69	0.48	280	7	5	Medium-quality
S181206A_bin_39	51.71	2.77	474	11	0	Medium-quality
BL-unmapped_bin_136	51.72	1.72	226	8	0	Medium-quality
BL-unmapped_bin_20	51.72	0	166	9	0	Medium-quality
BL-unmapped_bin_27	51.72	0	209	13	0	Medium-quality
BL-unmapped_bin_371	51.72	0	237	6	0	Medium-quality
BL-unmapped_bin_405	51.72	1.72	252	11	0	Medium-quality
Boar-s23_bin_40	51.72	1.34	420	15	4	Medium-quality
F4411_bin_4	51.72	0	197	12	0	Medium-quality
F4554_bin_13	51.72	1.72	364	9	0	Medium-quality
F4650_bin_33	51.72	1.72	225	13	0	Medium-quality
F5307_bin_2	51.72	1.72	257	8	0	Medium-quality
F5350_bin_57	51.72	1.72	326	20	0	Medium-quality
F5419_bin_53	51.72	3.45	429	13	0	Medium-quality
QHF6-unmapped_bin_19	51.72	3.45	94	13	0	Medium-quality
QHF6-unmapped_bin_484	51.72	0.86	190	25	0	Medium-quality
S159812A_bin_39	51.72	0	491	17	0	Medium-quality
S63506B_bin_25	51.72	0.86	542	116	1	Medium-quality
S72204A_bin_5	51.72	3.45	370	9	0	Medium-quality
S95008B_bin_33	51.72	1.72	465	12	0	Medium-quality
W4974_bin_22	51.72	0	76	5	0	Medium-quality
F4556_bin_7	51.74	2.99	217	39	3	Medium-quality
F4840_bin_22	51.75	3.51	439	29	0	Medium-quality
F5350_bin_65	51.75	1.75	451	6	0	Medium-quality
S159812B_bin_43	51.75	1.75	347	33	0	Medium-quality
F5244_bin_16	51.76	3.37	693	23	6	Medium-quality
F5141_bin_64	51.77	3.72	947	20	0	Medium-quality
S108604B_bin_47	51.77	0.81	303	19	0	Medium-quality
F5511_bin_18	51.78	2.25	23	4	0	Medium-quality
LW2-s127592_bin_13	51.78	2.35	80	19	0	Medium-quality
S114106A_bin_38	51.81	3.55	453	14	0	Medium-quality
F5403_bin_54	51.82	2.46	428	9	0	Medium-quality
F5094_bin_27	51.84	0	695	12	1	Medium-quality
F5457_bin_59	51.88	1.72	362	14	0	Medium-quality
I5021_bin_1	51.88	0	683	31	0	Medium-quality
C4974_bin_50	51.89	0	387	12	0	Medium-quality
Tibetan-s3480-3M_bin_8	51.89	0	375	10	0	Medium-quality
F4856_bin_36	51.92	4.09	132	16	0	Medium-quality
Tibetan-s3480-29M_bin_15	51.95	1.43	250	12	1	Medium-quality
F5436_bin_19	51.97	1.99	192	21	0	Medium-quality
S21310A_bin_34	51.97	0	345	14	0	Medium-quality
F5290_bin_9	51.98	3.64	615	20	1	Medium-quality
S76602A_bin_31	51.98	2.04	396	15	3	Medium-quality
F4950_bin_48	51.99	2.4	271	21	2	Medium-quality
Tibetan-s1400-30F_bin_25	51.99	1.78	292	20	0	Medium-quality
Boar-s2_bin_2	52	0	32	13	0	Medium-quality
F4912_bin_20	52	2.17	198	13	0	Medium-quality
Tibetan-s3480-28F_bin_15	52	1.82	186	24	0	Medium-quality
C4978_bin_5	52.01	2.66	107	5	2	Medium-quality
I4930_bin_4	52.01	2.96	349	27	2	Medium-quality
F4941_bin_40	52.02	3.45	621	9	1	Medium-quality
Boar-s35_bin_43	52.04	0	110	24	0	Medium-quality
F5176_bin_3	52.04	3.45	668	12	0	Medium-quality
F5290_bin_12	52.04	3.45	699	20	0	Medium-quality
F5512_bin_20	52.04	2.42	623	15	1	Medium-quality
QHF6-unmapped_bin_563	52.05	0.13	54	20	0	Medium-quality
Tibetan-s3800-8M_bin_6	52.05	4.73	927	5	4	Medium-quality
F5572_bin_20	52.06	3.51	978	35	0	Medium-quality
S53008A_bin_27	52.06	0	345	9	0	Medium-quality
F4840_bin_59	52.07	3.45	434	12	1	Medium-quality
S80312B_bin_56	52.07	1.72	421	24	0	Medium-quality
W4930_bin_28	52.07	0	336	24	0	Medium-quality
Boar-s4_bin_31	52.08	1.25	328	11	0	Medium-quality
S95012B_bin_35	52.08	0	293	18	1	Medium-quality
F5179_bin_50	52.09	1.72	600	5	1	Medium-quality
S114106B_bin_31	52.09	1.85	254	26	0	Medium-quality
F5205_bin_13	52.1	2.33	600	17	1	Medium-quality
QHF6-unmapped_bin_170	52.1	0.7	22	19	0	Medium-quality
QHF6-unmapped_bin_629	52.12	3.02	157	21	2	Medium-quality
S181206A_bin_43	52.12	0	214	24	0	Medium-quality
S67912A_bin_35	52.12	3.65	468	17	0	Medium-quality
Boar-s10_bin_48	52.15	1.72	589	21	0	Medium-quality
S114106B_bin_4	52.17	1.11	402	10	0	Medium-quality
F4656_bin_46	52.18	3.64	418	9	0	Medium-quality
QHF6-unmapped_bin_166	52.18	1.57	142	14	0	Medium-quality
F5141_bin_41	52.19	0	247	1	2	Medium-quality
F5208_bin_43	52.19	0	411	9	0	Medium-quality
F5622_bin_6	52.19	3.45	802	14	0	Medium-quality
Duroc-High2_bin_7	52.22	3.91	687	35	3	Medium-quality
F5440_bin_5	52.22	0.7	255	12	0	Medium-quality
F5446_bin_21	52.23	1.4	607	11	0	Medium-quality
S21104B_bin_14	52.23	0.67	260	15	0	Medium-quality
F4872_bin_23	52.24	0	469	3	0	Medium-quality
F5379_bin_62	52.24	0.22	114	20	2	Medium-quality
S46608B_bin_52	52.25	1.34	393	12	1	Medium-quality
F4286_bin_55	52.26	2.63	377	30	1	Medium-quality
S80312B_bin_2	52.27	0	306	17	0	Medium-quality
LW2-s127530_bin_37	52.29	2.74	584	79	0	Medium-quality
S136810B_bin_29	52.29	3.51	702	13	2	Medium-quality
F5157_bin_42	52.3	2.07	432	33	0	Medium-quality
F5615_bin_53	52.3	4.03	246	7	0	Medium-quality
F4950_bin_44	52.31	0.89	543	13	0	Medium-quality
F5453_bin_45	52.32	1.89	569	21	0	Medium-quality
F4563_bin_33	52.35	1.72	807	18	0	Medium-quality
QHF6-unmapped_bin_118	52.35	1.72	193	13	0	Medium-quality
C4975_bin_5	52.36	1.19	473	22	0	Medium-quality
QHF6-unmapped_bin_725	52.36	1.27	98	6	0	Medium-quality
Tibetan-s3800-8M_bin_23	52.37	1.11	300	19	0	Medium-quality
Boar-s23_bin_28	52.38	0	809	10	0	Medium-quality
F5386_bin_51	52.38	0	355	4	0	Medium-quality
Duroc.SH-FCR.LM1_bin_2	52.39	0.88	138	7	0	Medium-quality
F5302_bin_10	52.39	0	184	31	0	Medium-quality
S38404A_bin_31	52.39	0.46	731	29	0	Medium-quality
S133204A_bin_67	52.4	0.69	82	11	1	Medium-quality
Duroc-Low6_bin_20	52.42	1.91	619	20	0	Medium-quality
F4941_bin_44	52.44	0.85	344	12	0	Medium-quality
F5123_bin_10	52.47	3.04	502	14	2	Medium-quality
Tibetan-s3800-53F_bin_19	52.52	0	317	10	0	Medium-quality
F5242_bin_41	52.53	2.09	622	11	0	Medium-quality
Boar-s8_bin_18	52.55	0.27	611	8	0	Medium-quality
F5122_bin_13	52.55	0	321	12	1	Medium-quality
F5359_bin_47	52.55	4.67	151	10	1	Medium-quality
F5401_bin_34	52.56	0	200	11	1	Medium-quality
F4582_bin_18	52.57	2.92	595	5	0	Medium-quality
F4669_bin_11	52.58	4.87	343	2	0	Medium-quality
F4724_bin_52	52.59	0.86	421	13	0	Medium-quality
F4842_bin_31	52.59	3.33	462	27	1	Medium-quality
F4850_bin_48	52.59	4.31	413	13	1	Medium-quality
F5229_bin_15	52.59	0	331	12	0	Medium-quality
F5331_bin_73	52.59	1.85	342	11	1	Medium-quality
F5612_bin_17	52.59	0	364	23	1	Medium-quality
QHF6-unmapped_bin_685	52.59	0	177	10	0	Medium-quality
QHF6-unmapped_bin_731	52.59	4.31	240	15	1	Medium-quality
Tibetan-s3480-25M_bin_19	52.59	0	203	16	1	Medium-quality
F4650_bin_29	52.61	3.45	985	35	2	Medium-quality
F4661_bin_25	52.61	0.61	441	14	0	Medium-quality
F5018_bin_59	52.61	1.11	331	13	0	Medium-quality
LW2-s127575_bin_13	52.62	2.38	265	14	0	Medium-quality
BL-unmapped_bin_39	52.63	1.75	81	12	0	Medium-quality
F4552_bin_21	52.63	0	18	16	0	Medium-quality
F4554_bin_37	52.63	3.51	596	22	1	Medium-quality
F5362_bin_24	52.63	3.51	57	11	0	Medium-quality
F5447_bin_61	52.63	0	36	16	1	Medium-quality
QHF6-unmapped_bin_487	52.63	0	110	6	0	Medium-quality
QHF6-unmapped_bin_625	52.63	3.51	295	18	0	Medium-quality
F4372_bin_46	52.64	2.01	203	5	0	Medium-quality
F5240_bin_57	52.64	3.45	359	7	0	Medium-quality
F5290_bin_47	52.65	4.5	466	14	0	Medium-quality
F5345_bin_39	52.66	3.92	932	28	0	Medium-quality
W5021_bin_81	52.67	0.02	343	19	1	Medium-quality
C5039_bin_24	52.68	0	405	7	0	Medium-quality
F5260_bin_3	52.7	3.22	1283	18	0	Medium-quality
F5302_bin_76	52.7	0.69	136	18	1	Medium-quality
F5370_bin_42	52.7	1.49	433	17	17	Medium-quality
F5502_bin_43	52.7	1.86	360	24	0	Medium-quality
S53008A_bin_48	52.7	0.49	504	9	0	Medium-quality
C4982_bin_24	52.71	1.46	295	9	0	Medium-quality
S80312B_bin_8	52.73	4.2	815	24	0	Medium-quality
F5268_bin_15	52.74	4.93	611	20	0	Medium-quality
F5520_bin_44	52.74	1.01	330	9	1	Medium-quality
S96308A_bin_45	52.75	0	92	32	0	Medium-quality
F5042_bin_25	52.76	3.45	464	8	1	Medium-quality
S159812A_bin_42	52.76	1.72	458	13	0	Medium-quality
BL-unmapped_bin_10	52.77	2.42	159	17	0	Medium-quality
F4878_bin_23	52.79	3.51	310	4	0	Medium-quality
F4901_bin_4	52.79	0	279	33	0	Medium-quality
F4981_bin_31	52.79	1.75	352	9	0	Medium-quality
F5115_bin_48	52.79	1.75	114	17	0	Medium-quality
Tibetan-s1400-58M_bin_14	52.79	3.02	571	11	0	Medium-quality
F4972_bin_16	52.81	2.63	181	11	0	Medium-quality
F5331_bin_63	52.81	0	279	5	0	Medium-quality
F4726_bin_1	52.83	4.14	1109	16	0	Medium-quality
F5138_bin_65	52.83	1.89	479	22	0	Medium-quality
F5186_bin_2	52.83	1.89	313	7	0	Medium-quality
S50506B_bin_44	52.84	0.95	289	17	0	Medium-quality
S60108B_bin_5	52.85	2.61	568	20	0	Medium-quality
F4390_bin_53	52.87	0.34	283	8	2	Medium-quality
QHF6-unmapped_bin_604	52.87	0.34	71	30	0	Medium-quality
F4905_bin_45	52.88	1.58	372	11	1	Medium-quality
F5181_bin_14	52.88	4.58	937	16	0	Medium-quality
F4286_bin_38	52.89	0	371	20	1	Medium-quality
C5039_bin_39	52.9	0	238	11	1	Medium-quality
F4993_bin_65	52.9	3.45	471	11	0	Medium-quality
F5432_bin_25	52.9	3.45	928	11	0	Medium-quality
S77806A_bin_17	52.9	3.45	797	9	0	Medium-quality
C4978_bin_36	52.93	2.59	464	20	0	Medium-quality
F4945_bin_18	52.93	3.45	339	7	1	Medium-quality
F4950_bin_10	52.94	0.87	256	9	0	Medium-quality
F5570_bin_27	52.94	0.18	490	17	0	Medium-quality
S96308A_bin_46	52.95	4.31	418	4	0	Medium-quality
F5023_bin_36	52.96	0.72	528	26	0	Medium-quality
F5347_bin_7	52.96	4.44	669	14	0	Medium-quality
F5478_bin_42	52.96	4.53	264	11	0	Medium-quality
F5347_bin_37	52.98	0	259	16	2	Medium-quality
F5490_bin_4	52.98	3.45	680	6	0	Medium-quality
QHF6-unmapped_bin_423	52.98	3.72	202	13	0	Medium-quality
F5594_bin_34	52.99	0.67	222	22	0	Medium-quality
F5512_bin_19	53	2.2	590	10	1	Medium-quality
F5574_bin_7	53	4.59	599	9	2	Medium-quality
S53008A_bin_23	53	0.78	324	11	0	Medium-quality
F5242_bin_25	53.01	2.8	538	10	0	Medium-quality
S107802B_bin_38	53.04	1.43	340	29	1	Medium-quality
S127906A_bin_73	53.08	1.34	337	8	0	Medium-quality
Tibetan-s1400-55F_bin_24	53.08	4.41	457	10	0	Medium-quality
F5100_bin_10	53.09	4.55	834	21	0	Medium-quality
F5422_bin_4	53.1	0	525	25	0	Medium-quality
S50506B_bin_18	53.1	0.17	522	9	0	Medium-quality
F5511_bin_53	53.11	3.15	602	12	1	Medium-quality
C4975_bin_65	53.13	0.34	272	15	0	Medium-quality
QHF6-unmapped_bin_618	53.14	3.51	298	17	0	Medium-quality
Boar-s5_bin_14	53.16	0	327	6	0	Medium-quality
S50206A_bin_30	53.16	0.53	102	13	0	Medium-quality
F4976_bin_27	53.19	3.45	362	8	0	Medium-quality
S127906A_bin_32	53.19	1.51	259	15	0	Medium-quality
S72204A_bin_23	53.2	2.89	640	25	0	Medium-quality
BL-unmapped_bin_310	53.21	1.89	312	14	0	Medium-quality
F5511_bin_35	53.21	0	361	22	3	Medium-quality
S38404A_bin_70	53.21	0	265	19	0	Medium-quality
F4978_bin_28	53.22	1.82	603	13	0	Medium-quality
S77806A_bin_16	53.22	2.07	515	18	0	Medium-quality
Duroc-Low4_bin_48	53.25	1.51	284	18	1	Medium-quality
F5332_bin_61	53.26	0	133	6	0	Medium-quality
F4979_bin_41	53.31	0.27	412	11	0	Medium-quality
F4390_bin_64	53.32	4.43	772	25	0	Medium-quality
F5362_bin_41	53.32	1.08	295	4	0	Medium-quality
S38404A_bin_36	53.32	3.4	817	15	0	Medium-quality
S96308A_bin_3	53.32	0.94	413	12	0	Medium-quality
